raceId_,driverId_,circuitRef_,full_name_,position_,grid_,race_time_,shortest_pit_stop_milliseconds,longest_pit_stop_milliseconds,mean_pit_stop_milliseconds
841,1,albert_park,Lewis Hamilton,2,2,+22.297,23199.0,23227.0,23213.0
841,2,albert_park,Nick Heidfeld,12,18,0,22994.0,25098.0,24046.0
841,3,albert_park,Nico Rosberg,0,7,0,23716.0,23716.0,23716.0
841,4,albert_park,Fernando Alonso,4,5,+31.772,23251.0,24733.0,24055.0
841,5,albert_park,Heikki Kovalainen,0,19,0,24865.0,24865.0,24865.0
841,10,albert_park,Timo Glock,0,21,0,23792.0,23792.0,23792.0
841,13,albert_park,Felipe Massa,7,8,+1:25.186,23842.0,24500.0,24145.666666666668
841,15,albert_park,Jarno Trulli,13,20,0,24848.0,24899.0,24873.5
841,16,albert_park,Adrian Sutil,9,16,0,23871.0,25978.0,24924.5
841,17,albert_park,Mark Webber,5,3,+38.171,22520.0,26230.0,24058.666666666668
841,18,albert_park,Jenson Button,6,4,+54.304,16867.0,23303.0,20950.333333333332
841,20,albert_park,Sebastian Vettel,1,1,1:29:30.259,22603.0,24036.0,23319.5
841,22,albert_park,Rubens Barrichello,0,17,0,16892.0,37856.0,26175.0
841,30,albert_park,Michael Schumacher,0,11,0,23988.0,25021.0,24504.5
841,67,albert_park,Sébastien Buemi,8,10,0,23100.0,25342.0,24221.0
841,153,albert_park,Jaime Alguersuari,11,12,0,24463.0,26898.0,25903.0
841,155,albert_park,Kamui Kobayashi,0,9,0,24064.0,24192.0,24128.0
841,808,albert_park,Vitaly Petrov,3,6,+30.560,24535.0,25683.0,25109.0
841,814,albert_park,Paul di Resta,10,14,0,24332.0,24863.0,24597.5
841,815,albert_park,Sergio Pérez,0,13,0,23438.0,23438.0,23438.0
841,816,albert_park,Jérôme d'Ambrosio,14,22,0,25259.0,26446.0,25852.5
842,1,sepang,Lewis Hamilton,8,2,+1:09.957,22466.0,25382.0,23252.75
842,2,sepang,Nick Heidfeld,3,6,+25.075,22602.0,23900.0,23241.0
842,3,sepang,Nico Rosberg,12,9,0,22526.0,24967.0,23356.666666666668
842,4,sepang,Fernando Alonso,6,5,+37.248,23152.0,27182.0,24510.0
842,5,sepang,Heikki Kovalainen,15,19,0,23336.0,29084.0,26210.0
842,10,sepang,Timo Glock,16,21,0,24429.0,24617.0,24523.0
842,13,sepang,Felipe Massa,5,7,+36.958,22541.0,29224.0,24886.0
842,15,sepang,Jarno Trulli,0,20,0,25516.0,25516.0,25516.0
842,16,sepang,Adrian Sutil,11,17,+1:41.379,22046.0,31694.0,25430.0
842,17,sepang,Mark Webber,4,3,+26.384,21991.0,22572.0,22198.25
842,18,sepang,Jenson Button,2,4,+3.261,22400.0,22483.0,22451.333333333332
842,20,sepang,Sebastian Vettel,1,1,1:37:39.832,21893.0,23019.0,22408.333333333332
842,22,sepang,Rubens Barrichello,0,15,0,24502.0,32978.0,28740.0
842,24,sepang,Vitantonio Liuzzi,0,23,0,26554.0,38823.0,31064.0
842,30,sepang,Michael Schumacher,9,11,+1:24.896,22227.0,22576.0,22354.666666666668
842,67,sepang,Sébastien Buemi,13,12,0,23280.0,29843.0,26854.0
842,153,sepang,Jaime Alguersuari,14,13,0,22888.0,23584.0,23236.0
842,155,sepang,Kamui Kobayashi,7,10,+1:06.439,23280.0,23442.0,23361.0
842,808,sepang,Vitaly Petrov,17,8,0,22680.0,28694.0,24852.0
842,814,sepang,Paul di Resta,10,14,+1:31.563,22419.0,23977.0,23056.333333333332
842,815,sepang,Sergio Pérez,0,16,0,23597.0,23597.0,23597.0
842,816,sepang,Jérôme d'Ambrosio,0,22,0,24416.0,26252.0,25334.0
843,1,shanghai,Lewis Hamilton,1,3,1:36:58.226,20533.0,20878.0,20659.333333333332
843,2,shanghai,Nick Heidfeld,12,16,+1:12.739,21821.0,22216.0,22018.5
843,3,shanghai,Nico Rosberg,5,4,+13.448,20720.0,22005.0,21165.333333333332
843,4,shanghai,Fernando Alonso,7,5,+30.622,21251.0,22524.0,21887.5
843,5,shanghai,Heikki Kovalainen,16,19,0,21890.0,22485.0,22187.5
843,10,shanghai,Timo Glock,21,22,0,21908.0,33827.0,26139.333333333332
843,13,shanghai,Felipe Massa,6,6,+15.840,21168.0,21624.0,21396.0
843,15,shanghai,Jarno Trulli,19,20,0,22260.0,23029.0,22644.5
843,16,shanghai,Adrian Sutil,15,11,0,20989.0,28708.0,23585.0
843,17,shanghai,Mark Webber,3,18,+7.555,21091.0,23442.0,21888.333333333332
843,18,shanghai,Jenson Button,4,2,+10.000,20758.0,23779.0,21924.666666666668
843,20,shanghai,Sebastian Vettel,2,1,+5.198,21533.0,21995.0,21764.0
843,22,shanghai,Rubens Barrichello,13,15,+1:30.189,21481.0,21709.0,21595.0
843,24,shanghai,Vitantonio Liuzzi,22,23,0,14160.0,24467.0,20708.666666666668
843,30,shanghai,Michael Schumacher,8,14,+31.026,20522.0,21964.0,21295.333333333332
843,39,shanghai,Narain Karthikeyan,23,24,0,26049.0,26049.0,26049.0
843,67,shanghai,Sébastien Buemi,14,9,+1:30.671,21928.0,24722.0,22886.666666666668
843,153,shanghai,Jaime Alguersuari,0,7,0,22419.0,22419.0,22419.0
843,155,shanghai,Kamui Kobayashi,10,13,+1:03.273,21855.0,21936.0,21895.5
843,808,shanghai,Vitaly Petrov,9,10,+57.404,21981.0,22005.0,21993.0
843,813,shanghai,Pastor Maldonado,18,17,0,22062.0,27620.0,24280.666666666668
843,814,shanghai,Paul di Resta,11,8,+1:08.757,21218.0,21989.0,21603.5
843,815,shanghai,Sergio Pérez,17,12,0,13900.0,28845.0,21903.75
843,816,shanghai,Jérôme d'Ambrosio,20,21,0,22802.0,22901.0,22851.5
844,1,istanbul,Lewis Hamilton,4,4,+40.232,20833.0,35688.0,24909.25
844,2,istanbul,Nick Heidfeld,7,9,+1:00.857,20872.0,22300.0,21743.75
844,3,istanbul,Nico Rosberg,5,3,+47.539,20308.0,22573.0,21189.25
844,4,istanbul,Fernando Alonso,3,5,+10.075,21308.0,21732.0,21530.25
844,5,istanbul,Heikki Kovalainen,19,18,0,21633.0,23114.0,22533.666666666668
844,13,istanbul,Felipe Massa,11,10,+1:19.823,21322.0,26685.0,23375.0
844,15,istanbul,Jarno Trulli,18,19,0,22219.0,23066.0,22715.666666666668
844,16,istanbul,Adrian Sutil,13,12,0,21006.0,21649.0,21246.333333333332
844,17,istanbul,Mark Webber,2,2,+8.807,20421.0,22087.0,21100.25
844,18,istanbul,Jenson Button,6,6,+59.431,21368.0,22639.0,21808.0
844,20,istanbul,Sebastian Vettel,1,1,1:30:17.558,20112.0,20623.0,20402.25
844,22,istanbul,Rubens Barrichello,15,11,0,21687.0,22868.0,22424.0
844,24,istanbul,Vitantonio Liuzzi,22,20,0,24634.0,56611.0,37493.25
844,30,istanbul,Michael Schumacher,12,8,+1:25.444,20379.0,30182.0,23016.25
844,39,istanbul,Narain Karthikeyan,21,22,0,24474.0,27353.0,25596.333333333332
844,67,istanbul,Sébastien Buemi,9,16,+1:09.394,21769.0,22128.0,21976.333333333332
844,153,istanbul,Jaime Alguersuari,16,17,0,21826.0,22713.0,22114.0
844,155,istanbul,Kamui Kobayashi,10,24,+1:18.021,21820.0,23455.0,22577.0
844,808,istanbul,Vitaly Petrov,8,7,+1:08.168,21323.0,21838.0,21561.25
844,813,istanbul,Pastor Maldonado,17,14,0,13925.0,23881.0,20547.0
844,814,istanbul,Paul di Resta,0,13,0,20775.0,21403.0,20998.75
844,815,istanbul,Sergio Pérez,14,15,0,21715.0,29270.0,24061.25
844,816,istanbul,Jérôme d'Ambrosio,20,23,0,22779.0,24837.0,23808.0
845,1,catalunya,Lewis Hamilton,2,3,+0.630,19761.0,20988.0,20364.25
845,2,catalunya,Nick Heidfeld,8,24,0,20796.0,21953.0,21357.0
845,3,catalunya,Nico Rosberg,7,7,0,19534.0,20647.0,20192.0
845,4,catalunya,Fernando Alonso,5,4,0,20238.0,20738.0,20480.75
845,5,catalunya,Heikki Kovalainen,0,15,0,20807.0,23068.0,21631.333333333332
845,10,catalunya,Timo Glock,19,20,0,21170.0,22744.0,21848.666666666668
845,13,catalunya,Felipe Massa,0,8,0,20800.0,22419.0,21618.0
845,15,catalunya,Jarno Trulli,18,18,0,21723.0,23001.0,22362.666666666668
845,16,catalunya,Adrian Sutil,13,17,0,20267.0,23230.0,21423.333333333332
845,17,catalunya,Mark Webber,4,1,+47.966,19984.0,20881.0,20305.75
845,18,catalunya,Jenson Button,3,5,+35.697,20015.0,20763.0,20295.0
845,20,catalunya,Sebastian Vettel,1,2,1:39:03.301,19887.0,20426.0,20214.5
845,22,catalunya,Rubens Barrichello,17,19,0,20637.0,29936.0,23112.25
845,24,catalunya,Vitantonio Liuzzi,0,21,0,23157.0,23157.0,23157.0
845,30,catalunya,Michael Schumacher,6,10,0,20084.0,20487.0,20340.666666666668
845,39,catalunya,Narain Karthikeyan,21,22,0,24298.0,24843.0,24529.666666666668
845,67,catalunya,Sébastien Buemi,14,11,0,20818.0,24745.0,22127.333333333332
845,153,catalunya,Jaime Alguersuari,16,13,0,20741.0,23143.0,21443.75
845,155,catalunya,Kamui Kobayashi,10,14,0,20500.0,24871.0,22166.333333333332
845,808,catalunya,Vitaly Petrov,11,6,0,21739.0,24232.0,22609.0
845,813,catalunya,Pastor Maldonado,15,9,0,21574.0,24821.0,22790.25
845,814,catalunya,Paul di Resta,12,16,0,20070.0,20573.0,20256.333333333332
845,815,catalunya,Sergio Pérez,9,12,0,21143.0,23592.0,22188.0
845,816,catalunya,Jérôme d'Ambrosio,20,23,0,21708.0,23176.0,22622.0
846,1,monaco,Lewis Hamilton,6,9,+27.210,19347.0,31445.0,25923.0
846,2,monaco,Nick Heidfeld,8,15,0,25851.0,26281.0,26066.0
846,3,monaco,Nico Rosberg,11,7,0,25116.0,25310.0,25205.0
846,4,monaco,Fernando Alonso,2,4,+1.138,25352.0,31382.0,28367.0
846,5,monaco,Heikki Kovalainen,14,17,0,25878.0,26477.0,26177.5
846,10,monaco,Timo Glock,0,20,0,26827.0,26827.0,26827.0
846,13,monaco,Felipe Massa,0,6,0,26615.0,26615.0,26615.0
846,15,monaco,Jarno Trulli,13,18,0,25595.0,26065.0,25830.0
846,16,monaco,Adrian Sutil,7,14,0,25037.0,27879.0,26458.0
846,17,monaco,Mark Webber,4,3,+23.101,26269.0,37735.0,32002.0
846,18,monaco,Jenson Button,3,2,+2.378,24670.0,26421.0,25457.0
846,20,monaco,Sebastian Vettel,1,1,2:09:38.373,28536.0,28536.0,28536.0
846,22,monaco,Rubens Barrichello,9,11,0,25675.0,25921.0,25798.0
846,24,monaco,Vitantonio Liuzzi,16,23,0,28298.0,28298.0,28298.0
846,30,monaco,Michael Schumacher,0,5,0,35084.0,35084.0,35084.0
