raceId,driverId,stop,lap,time,milliseconds,date,round,circuitRef,full_name,grid,position,race_time
841,153,1,1,17:05:23,26898.0,2011-03-27,1,albert_park,Jaime Alguersuari,12,11,\N
841,30,1,1,17:05:52,25021.0,2011-03-27,1,albert_park,Michael Schumacher,11,\N,\N
841,17,1,11,17:20:48,23426.0,2011-03-27,1,albert_park,Mark Webber,3,5,+38.171
841,4,1,12,17:22:34,23251.0,2011-03-27,1,albert_park,Fernando Alonso,5,4,+31.772
841,13,1,13,17:24:10,23842.0,2011-03-27,1,albert_park,Felipe Massa,8,7,+1:25.186
841,22,1,13,17:24:29,23643.0,2011-03-27,1,albert_park,Rubens Barrichello,17,\N,\N
841,20,1,14,17:25:17,22603.0,2011-03-27,1,albert_park,Sebastian Vettel,1,1,1:29:30.259
841,814,1,14,17:26:03,24863.0,2011-03-27,1,albert_park,Paul di Resta,14,10,\N
841,816,1,14,17:26:50,25259.0,2011-03-27,1,albert_park,Jérôme d'Ambrosio,22,14,\N
841,67,1,15,17:27:34,25342.0,2011-03-27,1,albert_park,Sébastien Buemi,10,8,\N
841,2,1,15,17:27:41,22994.0,2011-03-27,1,albert_park,Nick Heidfeld,18,12,\N
841,1,1,16,17:28:24,23227.0,2011-03-27,1,albert_park,Lewis Hamilton,2,2,+22.297
841,808,1,16,17:28:39,24535.0,2011-03-27,1,albert_park,Vitaly Petrov,6,3,+30.560
841,3,1,16,17:29:00,23716.0,2011-03-27,1,albert_park,Nico Rosberg,7,\N,\N
841,155,1,16,17:29:06,24064.0,2011-03-27,1,albert_park,Kamui Kobayashi,9,\N,\N
841,16,1,16,17:29:08,25978.0,2011-03-27,1,albert_park,Adrian Sutil,16,9,\N
841,15,1,16,17:29:49,24899.0,2011-03-27,1,albert_park,Jarno Trulli,20,13,\N
841,18,1,17,17:30:24,16867.0,2011-03-27,1,albert_park,Jenson Button,4,6,+54.304
841,153,2,17,17:31:06,24463.0,2011-03-27,1,albert_park,Jaime Alguersuari,12,11,\N
841,5,1,17,17:31:11,24865.0,2011-03-27,1,albert_park,Heikki Kovalainen,19,\N,\N
841,30,2,17,17:32:08,23988.0,2011-03-27,1,albert_park,Michael Schumacher,11,\N,\N
841,10,1,18,17:33:02,23792.0,2011-03-27,1,albert_park,Timo Glock,21,\N,\N
841,18,2,19,17:33:53,23303.0,2011-03-27,1,albert_park,Jenson Button,4,6,+54.304
841,815,1,23,17:40:27,23438.0,2011-03-27,1,albert_park,Sergio Pérez,13,\N,\N
841,22,2,23,17:40:45,37856.0,2011-03-27,1,albert_park,Rubens Barrichello,17,\N,\N
841,17,2,26,17:44:29,22520.0,2011-03-27,1,albert_park,Mark Webber,3,5,+38.171
841,4,2,27,17:46:04,24733.0,2011-03-27,1,albert_park,Fernando Alonso,5,4,+31.772
841,22,3,28,17:49:07,16892.0,2011-03-27,1,albert_park,Rubens Barrichello,17,\N,\N
841,67,2,29,17:49:47,23100.0,2011-03-27,1,albert_park,Sébastien Buemi,10,8,\N
841,2,2,30,17:51:32,25098.0,2011-03-27,1,albert_park,Nick Heidfeld,18,12,\N
841,13,2,31,17:52:28,24500.0,2011-03-27,1,albert_park,Felipe Massa,8,7,+1:25.186
841,155,2,32,17:54:21,24192.0,2011-03-27,1,albert_park,Kamui Kobayashi,9,\N,\N
841,20,2,36,17:59:17,24036.0,2011-03-27,1,albert_park,Sebastian Vettel,1,1,1:29:30.259
841,1,2,36,17:59:29,23199.0,2011-03-27,1,albert_park,Lewis Hamilton,2,2,+22.297
841,153,3,35,17:59:45,26348.0,2011-03-27,1,albert_park,Jaime Alguersuari,12,11,\N
841,808,2,36,17:59:47,25683.0,2011-03-27,1,albert_park,Vitaly Petrov,6,3,+30.560
841,814,2,36,18:00:48,24332.0,2011-03-27,1,albert_park,Paul di Resta,14,10,\N
841,18,3,37,18:01:49,22681.0,2011-03-27,1,albert_park,Jenson Button,4,6,+54.304
841,16,2,37,18:02:15,23871.0,2011-03-27,1,albert_park,Adrian Sutil,16,9,\N
841,15,2,37,18:03:55,24848.0,2011-03-27,1,albert_park,Jarno Trulli,20,13,\N
841,816,2,38,18:06:53,26446.0,2011-03-27,1,albert_park,Jérôme d'Ambrosio,22,14,\N
841,17,3,41,18:07:37,26230.0,2011-03-27,1,albert_park,Mark Webber,3,5,+38.171
841,22,4,40,18:08:03,26309.0,2011-03-27,1,albert_park,Rubens Barrichello,17,\N,\N
841,4,3,42,18:09:08,24181.0,2011-03-27,1,albert_park,Fernando Alonso,5,4,+31.772
